YEAR,WEEK,TOTAL SPECIMENS,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B,H3N2v,PERCENT POSITIVE
2013,40,4911,0,0,13,69,83,28,1,3.95031561800041
2013,41,5808,0,0,24,57,116,32,0,3.94283746556474
2013,42,5801,0,0,16,49,94,26,0,3.18910532666782
2013,43,5886,0,0,21,73,100,14,0,3.53380903839619
2013,44,6316,0,0,26,88,136,43,0,4.63901203293224
2013,45,6945,0,0,29,157,171,43,0,5.75953923686105
2013,46,7203,0,0,21,272,188,37,0,7.19144800777454
2013,47,7839,0,0,22,425,213,57,0,9.14657481821661
2013,48,7433,0,0,29,496,331,42,0,12.0812592492937
2013,49,10169,0,0,34,1023,593,69,0,16.9043170419904
2013,50,10837,0,0,56,1324,821,52,0,20.7898864999539
2013,51,14015,0,0,51,2231,1606,67,0,28.219764537995
2013,52,15748,0,0,47,3004,1749,93,0,31.0706121412243
2014,1,17779,0,0,84,3477,1538,88,0,29.1748692277406
2014,2,18253,0,0,106,3544,1316,91,0,27.7050347888018
2014,3,17480,0,0,126,3263,1160,131,0,26.7734553775744
2014,4,16468,0,0,132,2643,1042,185,0,24.3016759776536
2014,5,14618,0,0,94,1945,776,175,0,20.4542345054043
2014,6,12995,0,0,130,1571,557,219,0,19.0611773759138
2014,7,11892,0,0,102,1133,489,227,0,16.405987218298
2014,8,11127,0,0,93,840,337,248,0,13.6424912375303
2014,9,10252,0,0,102,581,261,274,0,11.8806086617245
2014,10,9441,0,0,102,413,207,301,0,10.8357165554496
2014,11,8922,0,0,138,351,163,334,0,11.0513337816633
2014,12,8216,0,0,164,212,190,464,0,12.5365141187926
2014,13,7905,0,0,184,156,188,525,0,13.3206831119545
2014,14,7531,0,0,236,116,146,595,0,14.5133448413225
2014,15,7179,0,0,227,55,168,624,0,14.9603008775595
2014,16,6648,0,0,222,36,138,516,0,13.7184115523466
2014,17,6317,0,0,191,35,129,469,0,13.0441665347475
2014,18,5865,0,0,151,13,131,447,0,12.6513213981245
2014,19,5436,0,0,130,9,104,354,0,10.9823399558499
2014,20,5315,0,0,119,8,102,322,0,10.3668861712135
2014,21,4833,0,0,105,4,62,236,0,8.42127043244362
2014,22,4757,0,0,115,3,80,225,0,8.8921589236914
2014,23,4310,0,0,97,3,51,160,0,7.21577726218097
2014,24,4140,0,0,101,3,50,140,0,7.10144927536232
2014,25,3877,0,0,69,3,43,113,0,5.88083569770441
2014,26,3434,0,0,45,1,28,100,0,5.06697728596389
2014,27,3144,0,0,47,2,26,83,0,5.02544529262086
2014,28,3057,0,0,55,3,29,66,0,5.00490677134446
2014,29,3188,0,0,41,0,19,61,0,3.79548306148055
2014,30,3127,0,0,37,2,28,50,0,3.74160537256156
2014,31,2939,0,0,53,2,25,27,0,3.6406941136441
2014,32,2973,0,0,44,5,15,23,1,2.95997309115372
2014,33,3270,0,0,54,1,21,36,0,3.42507645259939
2014,34,3339,0,0,45,3,19,42,1,3.29439952081462
2014,35,3973,0,0,62,6,26,42,0,3.42310596526554
2014,36,4227,0,0,44,7,32,34,0,2.76792051100071
2014,37,5324,0,0,66,1,33,31,0,2.46055597295267
2014,38,5681,0,0,81,6,31,53,0,3.01003344481605
2014,39,5905,0,0,87,1,51,65,0,3.45469940728196
